EXPERIMENT_ID	01_HepG2_LiHG_Ct1_H3K36me3_S_2
SAMPLE_ID	01_HepG2_LiHG_Ct1
TECHNICAL_REPLICATE_ID	2
BIOLOGICAL_REPLICATE_ID	1
CONTACT_PERSON	Kathrin Kattler, kathrin.kattler@googlemail.com
CONTACT_LAB	Walter
EXPERIMENT_DATE	2014-09-29
EXPERIMENT_TYPE	ChIP-seq
EXTRACTION_PROTOCOL	PCI (phenol chloroform isoamylalcohol extraction)
EXTRACTION_PROTOCOL_STARTING_NR_CELLS	12x10^6
EXTRACTION_PROTOCOL_SONICATION_FRAGMENT_SIZE_RANGE	150-500
LIBRARY_GENERATION_ADAPTOR_LIGATION_PROTOCOL	TruSeq ChIP Sample Prep Kit
LIBRARY_GENERATION_ADAPTOR_SEQUENCE	GGCTAC
LIBRARY_GENERATION_PROTOCOL	modified.TruSeq.ChIP.Sample.Preparation
LIBRARY_GENERATION_INITIAL_INPUT_QNTY	13 ng
LIBRARY_GENERATION_PCR_F_PRIMER_SEQUENCE	PCR Primer Cocktail (PPC)
LIBRARY_GENERATION_PCR_NUMBER_CYCLES	8
LIBRARY_GENERATION_PCR_POLYMERASE_TYPE	Illumina TruSeq PCR Polymerase
LIBRARY_GENERATION_PCR_PRIMER_CONC	5 µl of PPC
LIBRARY_GENERATION_PCR_PRODUCT_ISOLATION_PROTOCOL	Agencourt AMPure XP Beads (Beckman Coulter, A63881)
LIBRARY_GENERATION_PCR_R_PRIMER_SEQUENCE	PCR Primer Cocktail (PPC)
LIBRARY_GENERATION_PCR_TEMPLATE_CONC	N/A
LIBRARY_GENERATION_PCR_THERMOCYCLING_PROGRAM	x*(10s @ 98°C, 30s @ 60°C, 30s @ 72°C), 5m @ 72°C, hold @ 4°C
LIBRARY_GENERATION_PCR_PRODUCT_LENGTH	460
LIBRARY_GENERATION_FRAGMENT_SIZE_SELECTION	N/A
LIBRARY_GENERATION_cDNA_FRAGMENTATION	N/A
CHIP_PROTOCOL	HepaRG_modified.ChIP.protocol
CHIP_PROTOCOL_CHROMATIN_AMOUNT	1000000 cells
CHIP_ANTIBODY	H3K36me3
CHIP_ANTIBODY_CATALOG	pAb-195-050
CHIP_ANTIBODY_LOT	A1847-001P
CHIP_ANTIBODY_PROVIDER	Diagenode
CHIP_PROTOCOL_ANTIBODY_AMOUNT	2 µg
CHIP_PROTOCOL_BEAD_AMOUNT	10 µl
CHIP_PROTOCOL_BEAD_TYPE	magnetic G
CHIP_PROTOCOL_PERC_CH2O_CROSSLINKING	1% formaldehyde
CHIP_PROTOCOL_DURATION_CROSSLINKING	5 min
CHIP_PROTOCOL_SHEARING_METHOD	Bioruptor NGS
CHIP_PROTOCOL_SHEARING_CYCLES	6
CHIP_PROTOCOL_SHEARING_FREQUENCY	30'' on / 30'' off
CHIP_PROTOCOL_IPSTAR_CONDITIONS	N/A
