DEEP_SAMPLE_ID	42_Mf02_LiHe_Ct
ORGANISM	Mus musculus
STRAIN	DBA/2J / C57BL/6J (LT2+/p62-)
POOL	no
STATUS	normal control
MOLECULE	genomic DNA, total RNA, cell pellets for ChIP, NOME, DNase1
DISEASE	healthy
BIOMATERIAL_PROVIDER	Pharmazeutische Biologie, UDS, Saarbruecken / IfADo, Dortmund
BIOMATERIAL_TYPE	primary cell
CELL_TYPE	hepatocyte
MARKERS	none
DONOR_ID	42_Mf02
DONOR_AGE	9
DONOR_AGE_UNIT	weeks
DONOR_HEALTH_STATUS	NA
DONOR_SEX	female
DONOR_ETHNICITY	NA
COMMENT	9 weeks old, controlled: p62 expression / F4/80 expression / Lipid content
SORTING_PARAMETERS	none
