DEEP_SAMPLE_ID	53_Mf06_LPFi_RA
ORGANISM	Mus musculus
STRAIN	C57BL/6
POOL	no
STATUS	hTNF transgenic
DISEASE	rheumatoid arthritis
BIOMATERIAL_PROVIDER	Anja Hillmann, Pap Lab
BIOMATERIAL_TYPE	primary cell culture
CELL_TYPE	fibroblast
TISSUE_TYPE	synovial fluid
MARKERS	isolated from the synovium
CULTURE_CONDITIONS	10% CO2, DMEM+10%FCS+P/S
DONOR_ID	53_Mf06
DONOR_AGE	13 weeks
DONOR_HEALTH_STATUS	Rheumatoid arthritis
DONOR_SEX	female
DONOR_ETHNICITY	NA
PASSAGE_IF_EXPANDED	4
COMMENT	sister of 53_Mf05, same caging
